,index,link_match,season,date,home_team,away_team,result_full,result_ht,home_clearances,home_corners,home_fouls_conceded,home_offsides,home_passes,home_possession,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_touches,home_yellow_cards,away_clearances,away_corners,away_fouls_conceded,away_offsides,away_passes,away_possession,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_touches,away_yellow_cards,goal_home_ft,goal_away_ft,sg_match_ft,goal_home_ht,goal_away_ht,sg_match_ht,clearances_avg_H,corners_avg_H,fouls_conceded_avg_H,offsides_avg_H,passes_avg_H,possession_avg_H,red_cards_avg_H,shots_avg_H,shots_on_target_avg_H,tackles_avg_H,touches_avg_H,yellow_cards_avg_H,goals_scored_ft_avg_H,goals_conced_ft_avg_H,sg_match_ft_acum_H,goals_scored_ht_avg_H,goals_conced_ht_avg_H,sg_match_ht_acum_H,performance_acum_H,clearances_avg_A,corners_avg_A,fouls_conceded_avg_A,offsides_avg_A,passes_avg_A,possession_avg_A,red_cards_avg_A,shots_avg_A,shots_on_target_avg_A,tackles_avg_A,touches_avg_A,yellow_cards_avg_A,goals_scored_ft_avg_A,goals_conced_ft_avg_A,sg_match_ft_acum_A,goals_scored_ht_avg_A,goals_conced_ht_avg_A,sg_match_ht_acum_A,performance_acum_A,clearances_avg_home,corners_avg_home,fouls_conceded_avg_home,offsides_avg_home,passes_avg_home,possession_avg_home,red_cards_avg_home,shots_avg_home,shots_on_target_avg_home,tackles_avg_home,touches_avg_home,yellow_cards_avg_home,goals_scored_ft_avg_home,goals_conced_ft_avg_home,sg_match_ft_acum_home,goals_scored_ht_avg_home,goals_conced_ht_avg_home,sg_match_ht_acum_home,performance_acum_home,clearances_avg_away,corners_avg_away,fouls_conceded_avg_away,offsides_avg_away,passes_avg_away,possession_avg_away,red_cards_avg_away,shots_avg_away,shots_on_target_avg_away,tackles_avg_away,touches_avg_away,yellow_cards_avg_away,goals_scored_ft_avg_away,goals_conced_ft_avg_away,sg_match_ft_acum_away,goals_scored_ht_avg_away,goals_conced_ht_avg_away,sg_match_ht_acum_away,performance_acum_away,ratio buts encaissés / tirs cadrés,Nombre d'arrêts,Pourcentage d'arrêts,Matches,Qualité du match,sg_match_ft_away
0,2659,https://www.premierleague.com/match/22342,17/18,2017-08-11,Arsenal,Leicester City,4-3,2-2,30.0,9.0,9.0,5.0,632.0,70.0,0.0,27.0,10.0,23.0,859.0,0.0,24.0,4.0,12.0,3.0,263.0,30.0,0.0,6.0,3.0,17.0,459.0,1.0,4,3,1,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1,Très mauvais,
1,2662,https://www.premierleague.com/match/22522,17/18,2017-12-22,Arsenal,Liverpool,3-3,0-1,17.0,7.0,9.0,3.0,503.0,53.5,0.0,11.0,4.0,18.0,716.0,1.0,30.0,8.0,11.0,1.0,436.0,46.5,0.0,14.0,9.0,21.0,665.0,0.0,3,3,0,0,1,-1,21.6,7.8,10.2,3.1,662.3,66.0,0.0,21.4,8.2,17.4,854.4,1.1,2.44,0.78,15.0,1.11,0.56,5.0,88.9,21.3,4.3,9.4,1.9,547.8,55.8,0.1,15.0,5.6,17.1,734.0,1.8,2.67,1.89,7.0,1.44,1.0,4.0,63.0,21.2,6.5,11.1,2.6,637.1,63.1,0.0,18.1,6.4,16.2,822.4,1.4,1.72,1.11,11.0,0.67,0.56,2.0,61.1,19.5,6.1,9.8,1.7,598.2,60.8,0.1,17.8,6.4,16.5,793.5,1.3,2.11,1.11,18.0,1.06,0.56,9.0,63.0,0.3333333333333333,6.0,0.6666666666666666,2,Moyen,
2,2681,https://www.premierleague.com/match/22392,17/18,2017-09-25,Arsenal,West Bromwich Albion,2-0,1-0,24.0,7.0,8.0,0.0,615.0,69.1,0.0,16.0,6.0,15.0,821.0,1.0,23.0,4.0,17.0,0.0,272.0,30.9,0.0,7.0,3.0,16.0,439.0,4.0,2,0,2,1,0,1,25.0,9.5,11.5,4.5,607.5,64.2,0.0,22.0,9.5,19.5,809.5,0.0,3.5,1.5,4.0,2.0,1.0,2.0,100.0,31.0,5.5,7.5,2.0,344.5,41.8,0.5,10.0,2.0,8.5,530.5,0.0,1.0,1.5,-1.0,0.0,0.5,-1.0,50.0,20.8,6.4,11.6,3.8,601.0,61.3,0.0,16.2,5.4,17.2,789.6,1.4,1.4,1.6,-1.0,0.8,0.8,0.0,46.7,27.2,6.2,11.0,2.2,307.0,38.4,0.2,10.4,2.6,12.0,482.0,1.4,0.8,0.8,0.0,0.2,0.2,0.0,53.3,0.0,3.0,1.0,3,Très bon,
3,2727,https://www.premierleague.com/match/22512,17/18,2017-12-16,Arsenal,Newcastle United,1-0,1-0,24.0,7.0,13.0,1.0,761.0,71.3,0.0,23.0,5.0,17.0,968.0,2.0,41.0,5.0,9.0,2.0,299.0,28.7,0.0,10.0,2.0,21.0,511.0,1.0,1,0,1,1,0,1,21.2,7.9,9.9,3.4,650.0,65.4,0.0,21.2,8.6,17.5,840.2,1.0,2.62,0.88,14.0,1.12,0.62,4.0,87.5,32.0,5.1,11.1,1.2,404.9,43.7,0.0,13.9,4.9,16.2,599.2,1.5,0.88,1.75,-7.0,0.38,0.62,-2.0,20.8,21.1,6.5,10.9,2.6,629.8,62.7,0.0,17.8,6.5,16.1,813.9,1.4,1.76,1.18,10.0,0.65,0.59,1.0,58.8,28.6,5.4,11.0,1.6,381.9,43.3,0.1,12.8,4.4,16.5,576.1,1.6,0.94,1.53,-10.0,0.41,0.59,-3.0,29.4,0.0,2.0,1.0,4,Très bon,
4,2746,https://www.premierleague.com/match/22452,17/18,2017-11-18,Arsenal,Tottenham Hotspur,2-0,2-0,37.0,7.0,11.0,8.0,399.0,42.1,0.0,14.0,5.0,18.0,617.0,4.0,22.0,4.0,16.0,1.0,549.0,57.9,0.0,14.0,4.0,12.0,768.0,1.0,2,0,2,2,0,2,22.0,7.4,9.4,2.6,666.4,67.1,0.0,20.4,8.2,17.0,855.4,0.2,2.6,0.8,9.0,1.2,0.6,3.0,100.0,31.2,4.6,12.4,2.4,524.2,57.6,0.2,15.0,5.6,15.0,732.4,1.2,2.4,0.6,9.0,1.4,0.0,7.0,80.0,21.5,6.1,11.0,2.5,612.7,61.5,0.0,16.7,6.5,16.2,795.7,1.4,1.82,1.45,4.0,0.73,0.64,1.0,57.6,25.2,7.3,10.3,1.8,562.5,61.4,0.1,17.4,5.5,15.7,768.0,1.1,1.82,0.64,13.0,0.91,0.18,8.0,69.7,0.0,4.0,1.0,5,Très bon,
5,2760,https://www.premierleague.com/match/22482,17/18,2017-12-02,Arsenal,Manchester United,1-3,0-2,10.0,12.0,11.0,4.0,656.0,75.1,0.0,33.0,16.0,18.0,846.0,3.0,67.0,1.0,10.0,0.0,222.0,24.9,1.0,8.0,4.0,15.0,450.0,2.0,1,3,-2,0,2,-2,22.9,7.3,9.7,3.3,649.1,64.0,0.0,19.6,7.6,17.4,839.4,0.7,2.86,0.57,16.0,1.29,0.43,6.0,100.0,26.6,6.0,12.1,1.4,481.4,52.0,0.0,12.0,4.7,14.6,679.0,1.9,1.71,1.0,5.0,0.86,0.43,3.0,52.4,22.2,6.1,11.1,2.9,613.4,60.9,0.0,16.9,6.1,16.1,796.4,1.4,2.0,1.14,12.0,0.79,0.5,4.0,66.7,22.6,6.7,11.7,1.6,511.2,54.6,0.0,14.5,5.2,13.6,708.1,1.4,2.29,0.57,24.0,0.86,0.29,8.0,76.2,0.75,1.0,0.25,6,Très mauvais,
6,2768,https://www.premierleague.com/match/22572,17/18,2018-01-20,Arsenal,Crystal Palace,4-1,4-0,30.0,5.0,6.0,3.0,727.0,63.0,0.0,16.0,10.0,19.0,916.0,0.0,20.0,10.0,8.0,1.0,406.0,37.0,0.0,9.0,5.0,15.0,604.0,0.0,4,1,3,4,0,4,20.5,7.9,10.2,3.0,642.1,64.2,0.0,19.8,7.6,17.4,835.7,1.3,2.45,1.09,15.0,0.91,0.55,4.0,78.8,26.5,5.6,10.6,1.3,350.3,41.1,0.0,10.5,2.7,17.2,556.1,1.5,0.55,1.36,-9.0,0.18,0.45,-3.0,27.3,21.5,6.5,10.7,2.6,627.0,62.5,0.0,17.1,6.2,16.5,816.1,1.6,1.78,1.3,11.0,0.57,0.48,2.0,56.5,24.6,5.9,11.3,1.5,376.3,44.9,0.0,13.1,3.7,18.3,586.1,2.0,0.91,1.43,-12.0,0.39,0.78,-9.0,36.2,0.2,4.0,0.8,7,Très bon,
7,2829,https://www.premierleague.com/match/22432,17/18,2017-10-28,Arsenal,Swansea City,2-1,0-1,13.0,5.0,9.0,2.0,805.0,72.9,0.0,17.0,5.0,16.0,963.0,0.0,38.0,2.0,9.0,1.0,300.0,27.1,0.0,4.0,2.0,14.0,467.0,0.0,2,1,1,0,1,-1,24.2,8.0,9.5,2.8,631.8,65.7,0.0,21.2,9.0,17.2,828.5,0.2,2.75,0.75,8.0,1.5,0.5,4.0,100.0,32.0,0.8,10.2,1.0,396.8,42.3,0.0,5.2,1.0,15.5,570.0,1.8,0.5,0.25,1.0,0.25,0.0,1.0,41.7,23.3,6.3,10.8,2.4,609.4,62.5,0.0,17.9,7.1,16.2,797.0,1.0,1.89,1.33,5.0,0.89,0.56,3.0,59.3,26.3,3.3,10.1,0.8,418.9,46.5,0.0,8.0,2.0,16.7,606.2,1.3,0.67,1.11,-4.0,0.22,0.33,-1.0,29.6,0.5,1.0,0.5,8,Mauvais,
8,2836,https://www.premierleague.com/match/22592,17/18,2018-02-03,Arsenal,Everton,5-1,4-0,27.0,4.0,8.0,1.0,553.0,58.4,0.0,15.0,7.0,22.0,735.0,2.0,26.0,6.0,8.0,3.0,376.0,41.6,0.0,10.0,2.0,11.0,586.0,0.0,5,1,4,4,0,4,21.2,7.7,9.8,3.0,649.2,64.1,0.0,19.5,7.8,17.5,842.4,1.2,2.58,1.08,18.0,1.17,0.5,8.0,80.6,33.8,2.8,12.7,2.1,378.7,42.5,0.1,7.7,2.5,19.7,573.8,1.5,0.67,1.92,-15.0,0.42,0.92,-6.0,22.2,21.6,6.3,10.4,2.6,641.7,63.0,0.0,16.7,6.2,16.4,829.5,1.6,1.84,1.36,12.0,0.72,0.48,6.0,56.0,34.0,3.4,12.7,2.1,390.0,44.9,0.1,9.2,3.0,18.0,588.4,1.6,1.12,1.6,-12.0,0.48,0.68,-5.0,41.3,0.5,1.0,0.5,9,Mauvais,
9,2898,https://www.premierleague.com/match/22372,17/18,2017-09-09,Arsenal,AFC Bournemouth,3-0,2-0,20.0,10.0,14.0,4.0,583.0,58.4,0.0,17.0,9.0,16.0,760.0,0.0,19.0,3.0,10.0,0.0,401.0,41.6,0.0,7.0,2.0,11.0,587.0,1.0,3,0,3,2,0,2,30.0,9.0,9.0,5.0,632.0,70.0,0.0,27.0,10.0,23.0,859.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,100.0,17.0,2.0,3.0,0.0,612.0,71.3,0.0,9.0,2.0,16.0,775.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,20.0,7.0,9.7,4.3,634.0,66.2,0.0,17.7,5.3,17.0,827.3,1.3,1.33,2.67,-4.0,0.67,1.33,-2.0,33.3,26.3,4.0,7.3,0.3,436.0,52.3,0.0,8.0,2.3,15.7,614.0,2.3,0.33,1.67,-4.0,0.33,0.67,-1.0,0.0,0.0,2.0,1.0,10,Très bon,
10,2905,https://www.premierleague.com/match/22652,17/18,2018-04-01,Arsenal,Stoke City,3-0,0-0,10.0,6.0,9.0,3.0,647.0,69.6,0.0,24.0,11.0,16.0,828.0,1.0,20.0,5.0,13.0,3.0,273.0,30.4,0.0,8.0,2.0,11.0,450.0,2.0,3,0,3,0,0,0,21.7,7.1,9.9,2.8,625.5,62.2,0.0,18.0,7.5,18.5,817.1,1.3,2.6,1.13,22.0,1.27,0.6,10.0,77.8,33.1,3.2,10.7,2.0,343.3,40.6,0.0,9.9,3.4,18.7,542.1,1.5,0.8,2.2,-21.0,0.4,0.87,-7.0,17.8,21.6,6.1,10.4,2.6,625.3,61.9,0.0,15.8,6.1,16.6,812.4,1.6,1.83,1.37,14.0,0.8,0.57,7.0,53.3,29.0,3.8,10.5,2.2,348.2,42.0,0.0,10.5,3.5,17.8,546.1,1.4,0.94,1.87,-29.0,0.42,0.77,-11.0,29.0,0.0,2.0,1.0,11,Très bon,
11,2907,https://www.premierleague.com/match/22402,17/18,2017-10-01,Arsenal,Brighton and Hove Albion,2-0,1-0,23.0,6.0,7.0,2.0,697.0,65.2,0.0,25.0,11.0,15.0,874.0,0.0,22.0,5.0,8.0,3.0,357.0,34.8,0.0,9.0,1.0,10.0,548.0,2.0,2,0,2,1,0,1,24.7,8.7,10.3,3.0,610.0,65.8,0.0,20.0,8.3,18.0,813.3,0.3,3.0,1.0,6.0,1.67,0.67,3.0,100.0,22.3,5.7,13.3,2.7,449.7,50.0,0.0,10.0,2.0,14.0,619.7,0.3,0.33,1.33,-3.0,0.0,0.33,-1.0,11.1,21.3,6.5,11.0,3.2,603.3,62.6,0.0,16.2,5.5,16.8,794.8,1.3,1.5,1.33,1.0,0.83,0.67,1.0,55.6,30.2,4.0,10.2,2.7,408.0,44.9,0.0,9.2,2.8,14.2,581.8,0.8,0.83,1.17,-2.0,0.17,0.17,0.0,38.9,0.0,1.0,1.0,12,Très bon,
12,2919,https://www.premierleague.com/match/22632,17/18,2018-03-11,Arsenal,Watford,3-0,1-0,32.0,4.0,12.0,5.0,502.0,59.7,0.0,11.0,7.0,21.0,695.0,2.0,16.0,9.0,9.0,3.0,324.0,40.3,0.0,11.0,4.0,13.0,524.0,1.0,3,0,3,1,0,1,20.9,7.3,9.8,2.6,634.4,62.4,0.0,18.5,7.6,18.3,825.9,1.2,2.57,1.21,19.0,1.29,0.64,9.0,76.2,27.9,4.8,12.5,1.9,394.9,49.6,0.1,11.6,3.4,19.0,597.4,1.4,1.21,1.5,-4.0,0.5,0.57,-1.0,33.3,21.2,6.2,10.3,2.5,629.5,62.0,0.0,16.0,6.1,16.4,816.4,1.6,1.79,1.41,11.0,0.79,0.59,6.0,51.7,25.3,4.8,11.7,1.8,418.0,50.6,0.1,11.9,3.3,17.2,617.0,1.7,1.34,1.62,-8.0,0.48,0.79,-9.0,41.4,0.0,4.0,1.0,13,Très bon,
13,2946,https://www.premierleague.com/match/22682,17/18,2018-04-22,Arsenal,West Ham United,4-1,0-0,15.0,8.0,11.0,1.0,629.0,67.7,0.0,20.0,8.0,4.0,809.0,3.0,22.0,6.0,9.0,1.0,297.0,32.3,0.0,11.0,4.0,10.0,453.0,2.0,4,1,3,0,0,0,21.6,7.1,9.9,2.7,631.1,62.8,0.1,18.1,7.7,17.9,821.6,1.3,2.65,1.12,26.0,1.24,0.59,11.0,80.4,29.6,3.5,9.9,2.4,374.5,43.1,0.1,8.1,3.6,15.9,567.9,2.0,1.24,2.24,-17.0,0.53,0.82,-5.0,23.5,21.3,6.2,10.3,2.5,630.3,62.5,0.0,16.0,6.2,16.7,817.6,1.5,1.88,1.36,17.0,0.82,0.58,8.0,54.5,27.0,4.4,10.1,2.6,378.0,45.3,0.1,9.7,3.6,16.4,579.8,2.1,1.24,1.79,-18.0,0.52,0.73,-7.0,35.4,0.25,3.0,0.75,14,Bon,
14,2977,https://www.premierleague.com/match/22702,17/18,2018-05-06,Arsenal,Burnley,5-0,2-0,20.0,4.0,6.0,0.0,662.0,63.6,0.0,16.0,8.0,12.0,829.0,0.0,23.0,5.0,7.0,0.0,372.0,36.4,0.0,6.0,2.0,11.0,527.0,1.0,5,0,5,2,0,2,21.3,7.1,10.0,2.6,631.0,63.1,0.1,18.2,7.7,17.1,820.9,1.4,2.72,1.11,29.0,1.17,0.56,11.0,81.5,34.6,3.8,9.8,2.2,337.1,41.1,0.0,9.2,3.3,14.6,527.1,2.1,1.11,0.94,3.0,0.5,0.28,4.0,51.9,21.5,6.0,10.2,2.5,624.7,62.1,0.0,15.9,6.1,16.6,812.3,1.6,1.91,1.37,19.0,0.77,0.57,7.0,54.3,31.8,4.3,9.1,2.7,355.1,43.5,0.0,10.1,3.4,14.1,545.1,1.8,0.97,0.89,3.0,0.42,0.28,5.0,50.0,0.0,2.0,1.0,15,Très bon,
15,2980,https://www.premierleague.com/match/22662,17/18,2018-04-08,Arsenal,Southampton,3-2,2-1,33.0,8.0,11.0,1.0,699.0,64.6,1.0,13.0,7.0,11.0,883.0,2.0,24.0,6.0,7.0,2.0,370.0,35.4,1.0,15.0,8.0,12.0,559.0,1.0,3,2,1,2,1,1,20.9,7.0,9.9,2.8,626.9,62.7,0.0,18.4,7.8,18.3,817.8,1.2,2.62,1.06,25.0,1.19,0.56,10.0,79.2,26.3,5.5,12.1,1.9,440.7,50.0,0.0,10.3,3.0,18.3,636.1,1.9,0.87,1.73,-13.0,0.4,0.87,-7.0,26.7,21.2,6.1,10.3,2.6,626.0,62.2,0.0,16.1,6.3,16.6,812.9,1.6,1.87,1.32,17.0,0.77,0.55,7.0,54.8,23.3,6.4,10.9,1.9,474.3,53.9,0.0,12.0,3.4,17.4,671.3,1.4,0.94,1.52,-18.0,0.42,0.81,-12.0,30.1,0.25,6.0,0.75,16,Bon,
16,2982,https://www.premierleague.com/match/22612,17/18,2018-03-01,Arsenal,Manchester City,0-3,0-3,11.0,6.0,11.0,0.0,538.0,45.8,0.0,10.0,5.0,24.0,718.0,1.0,31.0,1.0,11.0,1.0,653.0,54.2,0.0,9.0,5.0,11.0,859.0,1.0,0,3,-3,0,3,-3,21.7,7.4,9.7,2.8,641.8,63.7,0.0,19.2,7.8,17.8,834.2,1.2,2.77,1.08,22.0,1.38,0.46,12.0,82.1,19.4,7.5,8.8,1.5,720.0,72.4,0.1,17.2,6.2,16.3,908.8,1.9,2.23,0.77,19.0,1.0,0.38,8.0,82.1,21.8,6.0,10.2,2.7,633.5,62.4,0.0,16.3,6.1,16.4,820.4,1.6,1.89,1.33,15.0,0.81,0.44,10.0,55.6,15.1,7.6,8.9,1.7,727.2,72.0,0.1,18.0,7.6,15.6,911.8,1.6,2.93,0.74,59.0,1.04,0.33,19.0,88.9,0.6,2.0,0.4,17,Très mauvais,
