,index,Equipe,Valeur par joueur,Valeur totale equipe,Saison,Valeur_totale_equipe_en_mâ‚¬
0,0,Chelsea FC ,12.85,424.1,10/11,424.1
1,1,Manchester City ,8.98,404.18,10/11,404.18
2,2,Manchester United ,9.02,388.0,10/11,388.0
3,3,FC Liverpool ,8.08,339.2,10/11,339.2
4,4,FC Arsenal ,9.53,324.0,10/11,324.0
5,5,Tottenham Hotspur ,8.09,307.38,10/11,307.38
20,0,Manchester City ,13.85,498.6,11/12,498.6
21,1,Manchester United ,9.86,404.1,11/12,404.1
22,2,Chelsea FC ,11.73,375.5,11/12,375.5
23,3,FC Arsenal ,8.05,362.43,11/12,362.43
24,4,Tottenham Hotspur ,6.47,323.5,11/12,323.5
25,5,FC Liverpool ,7.64,236.9,11/12,236.9
40,0,Manchester City ,12.25,502.1,12/13,502.1
41,1,Manchester United ,11.16,457.5,12/13,457.5
42,2,Chelsea FC ,13.36,454.25,12/13,454.25
43,3,FC Arsenal ,7.07,296.9,12/13,296.9
44,4,Tottenham Hotspur ,7.24,296.8,12/13,296.8
45,5,FC Liverpool ,6.73,276.1,12/13,276.1
60,0,Chelsea FC ,11.92,584.2,13/14,584.2
61,1,Manchester City ,16.88,455.8,13/14,455.8
62,2,Manchester United ,10.88,402.55,13/14,402.55
63,3,FC Arsenal ,9.41,385.75,13/14,385.75
64,4,FC Liverpool ,8.77,315.75,13/14,315.75
65,5,Tottenham Hotspur ,7.05,288.95,13/14,288.95
80,0,Chelsea FC ,14.66,557.25,14/15,557.25
81,1,Manchester United ,11.75,505.4,14/15,505.4
82,2,Manchester City ,13.18,448.25,14/15,448.25
83,3,FC Arsenal ,9.88,414.75,14/15,414.75
84,4,FC Liverpool ,9.28,324.85,14/15,324.85
85,5,Tottenham Hotspur ,7.24,304.15,14/15,304.15
100,0,Chelsea FC ,13.84,553.5,15/16,553.5
101,1,Manchester City ,13.14,499.35,15/16,499.35
102,2,FC Arsenal ,11.17,457.85,15/16,457.85
103,3,Manchester United ,10.0,439.85,15/16,439.85
104,4,FC Liverpool ,8.53,375.25,15/16,375.25
105,5,Tottenham Hotspur ,12.0,371.85,15/16,371.85
120,0,Chelsea FC ,14.01,686.7,16/17,686.7
121,1,Manchester City ,16.47,576.5,16/17,576.5
122,2,Tottenham Hotspur ,14.31,543.65,16/17,543.65
123,3,FC Arsenal ,12.9,542.0,16/17,542.0
124,4,Manchester United ,12.65,531.45,16/17,531.45
125,5,FC Liverpool ,11.2,425.65,16/17,425.65
140,0,Manchester City ,31.53,1.01,17/18,1010.0
141,1,Chelsea FC ,19.22,884.25,17/18,884.25
142,2,FC Liverpool ,24.5,857.5,17/18,857.5
143,3,Manchester United ,24.27,849.5,17/18,849.5
144,4,Tottenham Hotspur ,24.4,829.6,17/18,829.6
145,5,FC Arsenal ,15.42,694.0,17/18,694.0
160,0,Manchester City ,26.16,1.2,18/19,1200.0
161,1,FC Liverpool ,30.06,1.17,18/19,1170.0
162,2,Chelsea FC ,21.6,1.17,18/19,1170.0
163,3,Tottenham Hotspur ,26.43,898.6,18/19,898.6
164,4,Manchester United ,22.16,797.6,18/19,797.6
165,5,FC Arsenal ,15.69,659.05,18/19,659.05
180,0,Manchester City ,30.84,1.05,19/20,1050.0
181,1,FC Liverpool ,17.9,1.0,19/20,1000.0
182,2,Tottenham Hotspur ,22.41,806.8,19/20,806.8
183,3,Chelsea FC ,19.61,705.85,19/20,705.85
184,4,Manchester United ,15.59,670.45,19/20,670.45
185,5,FC Arsenal ,15.99,607.65,19/20,607.65
